game_date,team_name,opp_team_name,venue,pbp_period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,frame_id,pbp_game_seconds,has_reception,possession,momentary_possession,video_shot,game_seconds,is_zone_entry,entry_time,recovery_time,is_pp_ozone,pp_name
8/2/2022,Canada,USA,away,1,366,5 on 4,0,0,Rebecca Johnston,Reception,t,176,3,Direct,Marie-Philip Poulin,130.0,17.0,,,,639.0,834,False,Marie-Philip Poulin,,1.0,835.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,t,130,17,Direct,Erin Ambrose,133.0,55.0,,,,650.0,835,True,loose,Marie-Philip Poulin,1.0,835.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Reception,t,130,17,Direct,Erin Ambrose,133.0,55.0,,,,670.0,835,False,Erin Ambrose,,1.0,836.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,363,5 on 4,0,0,Erin Ambrose,Play,t,139,55,Direct,Brianne Jenner,176.0,42.0,,,,701.0,837,True,loose,Erin Ambrose,1.0,837.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,363,5 on 4,0,0,Erin Ambrose,Reception,t,139,55,Direct,Brianne Jenner,176.0,42.0,,,,718.0,837,False,Brianne Jenner,,1.0,837.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,362,5 on 4,0,0,Rebecca Johnston,Puck Recovery,t,169,51,,,,,,,,734.0,838,False,Rebecca Johnston,,1.0,838.0,False,,838.0,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,360,5 on 4,0,0,Rebecca Johnston,Play,t,161,73,Direct,Erin Ambrose,133.0,50.0,,,,804.0,840,True,loose,Rebecca Johnston,1.0,840.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,360,5 on 4,0,0,Rebecca Johnston,Reception,t,161,73,Direct,Erin Ambrose,133.0,50.0,,,,830.0,840,False,Erin Ambrose,,1.0,841.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,359,5 on 4,0,0,Erin Ambrose,Play,t,133,50,Direct,Rebecca Johnston,136.0,62.0,,,,831.0,841,True,loose,Erin Ambrose,1.0,841.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,359,5 on 4,0,0,Erin Ambrose,Reception,t,133,50,Direct,Rebecca Johnston,136.0,62.0,,,,856.0,841,False,Rebecca Johnston,,1.0,842.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,358,5 on 4,0,0,Rebecca Johnston,Play,t,136,62,Direct,Erin Ambrose,131.0,37.0,,,,858.0,842,True,loose,Rebecca Johnston,1.0,842.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,358,5 on 4,0,0,Rebecca Johnston,Reception,t,136,62,Direct,Erin Ambrose,131.0,37.0,,,,882.0,842,False,Erin Ambrose,,1.0,843.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,355,5 on 4,0,0,Erin Ambrose,Play,t,130,51,Direct,Marie-Philip Poulin,140.0,22.0,,,,954.0,845,True,loose,Erin Ambrose,1.0,845.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,355,5 on 4,0,0,Erin Ambrose,Reception,t,130,51,Direct,Marie-Philip Poulin,140.0,22.0,,,,975.0,845,False,Marie-Philip Poulin,,1.0,846.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,353,5 on 4,0,0,Marie-Philip Poulin,Play,t,160,22,Direct,Sarah Fillier,190.0,26.0,,,,1014.0,847,True,loose,Marie-Philip Poulin,1.0,847.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,353,5 on 4,0,0,Marie-Philip Poulin,Reception,t,160,22,Direct,Sarah Fillier,190.0,26.0,,,,1024.0,847,False,Sarah Fillier,,1.0,848.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,352,5 on 4,0,0,Sarah Fillier,Play,t,190,26,Direct,Brianne Jenner,181.0,40.0,,,,1028.0,848,True,loose,Sarah Fillier,1.0,848.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,352,5 on 4,0,0,Sarah Fillier,Reception,t,190,26,Direct,Brianne Jenner,181.0,40.0,,,,1041.0,848,False,Brianne Jenner,,1.0,848.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,352,5 on 4,0,0,Brianne Jenner,Shot,t,181,40,Snapshot,,,,On Net,f,t,1041.0,848,False,loose,Brianne Jenner,1.0,848.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,USA,Canada,home,1,216,5 on 4,0,1,Abby Roque,Faceoff Win,t,169,65,Backhand,Blayre Turnbull,,,,,,24.0,984,False,loose,,1.0,985.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,215,5 on 4,0,1,Alex Carpenter,Puck Recovery,t,160,67,,,,,,,,64.0,985,False,Alex Carpenter,,1.0,986.0,False,,986.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,213,5 on 4,0,1,Alex Carpenter,Play,t,142,74,Direct,Kelly Pannek,136.0,80.0,,,,96.0,987,True,loose,Alex Carpenter,1.0,987.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,213,5 on 4,0,1,Alex Carpenter,Reception,t,142,74,Direct,Kelly Pannek,136.0,80.0,,,,108.0,987,False,Kelly Pannek,,1.0,988.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,212,5 on 4,0,1,Kelly Pannek,Play,t,136,75,Direct,Abby Roque,188.0,55.0,,,,141.0,988,True,loose,Kelly Pannek,1.0,989.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,212,5 on 4,0,1,Kelly Pannek,Reception,t,136,75,Direct,Abby Roque,188.0,55.0,,,,165.0,988,False,Abby Roque,,1.0,990.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,206,5 on 4,0,1,Abby Roque,Play,t,180,19,Direct,Amanda Kessel,195.0,29.0,,,,297.0,994,True,loose,Abby Roque,1.0,994.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,206,5 on 4,0,1,Abby Roque,Reception,t,180,19,Direct,Amanda Kessel,195.0,29.0,,,,314.0,994,False,Amanda Kessel,,1.0,995.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,205,5 on 4,0,1,Amanda Kessel,Play,t,193,21,Direct,Abby Roque,163.0,12.0,,,,349.0,995,True,loose,Amanda Kessel,1.0,996.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,205,5 on 4,0,1,Amanda Kessel,Reception,t,193,21,Direct,Abby Roque,163.0,12.0,,,,370.0,995,False,Abby Roque,,1.0,996.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,202,5 on 4,0,1,Abby Roque,Play,t,156,14,Direct,Amanda Kessel,192.0,22.0,,,,422.0,998,True,loose,Abby Roque,1.0,998.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,202,5 on 4,0,1,Abby Roque,Reception,t,156,14,Direct,Amanda Kessel,192.0,22.0,,,,444.0,998,False,Amanda Kessel,,1.0,999.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,199,5 on 4,0,1,Amanda Kessel,Play,t,163,9,Direct,Cayla Barnes,130.0,30.0,,,,510.0,1001,True,loose,Amanda Kessel,1.0,1001.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,199,5 on 4,0,1,Amanda Kessel,Reception,t,163,9,Direct,Cayla Barnes,130.0,30.0,,,,536.0,1001,False,Cayla Barnes,,1.0,1002.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,196,5 on 4,0,1,Cayla Barnes,Shot,f,134,64,Snapshot,,,,Blocked,t,f,614.0,1004,False,loose,Cayla Barnes,1.0,1005.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,194,4 on 5,1,0,Blayre Turnbull,Puck Recovery,t,32,39,,,,,,,,668.0,1006,False,Blayre Turnbull,,1.0,1006.0,False,,1006.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,194,4 on 5,1,0,Blayre Turnbull,Dump In/Out,f,37,45,,,,,,,,683.0,1006,False,loose,Blayre Turnbull,1.0,1007.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,192,5 on 4,0,1,Cayla Barnes,Puck Recovery,t,107,60,,,,,,,,734.0,1008,False,Cayla Barnes,,1.0,1009.0,False,,1009.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,191,5 on 4,0,1,Cayla Barnes,Play,f,91,64,Direct,Amanda Kessel,123.0,18.0,,,,774.0,1009,False,loose,Cayla Barnes,1.0,1010.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,190,4 on 5,1,0,Blayre Turnbull,Puck Recovery,t,85,32,,,,,,,,804.0,1010,False,Blayre Turnbull,,1.0,1011.0,False,,1011.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,188,4 on 5,0,1,Blayre Turnbull,Zone Entry,f,124,37,Carried,Cayla Barnes,,,,,,859.0,1012,False,Blayre Turnbull,,1.0,1013.0,True,1013.0,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,184,5 on 4,0,1,Abby Roque,Puck Recovery,t,88,68,,,,,,,,969.0,1016,False,Abby Roque,,1.0,1016.0,False,,1016.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,182,5 on 4,1,0,Abby Roque,Zone Entry,t,125,64,Carried,Jocelyne Larocque,,,,,,1028.0,1018,False,Abby Roque,,1.0,1018.0,True,1018.0,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,182,5 on 4,0,1,Abby Roque,Play,t,129,62,Direct,Amanda Kessel,134.0,33.0,,,,1033.0,1018,True,loose,Abby Roque,1.0,1018.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,182,5 on 4,0,1,Abby Roque,Reception,t,129,62,Direct,Amanda Kessel,134.0,33.0,,,,1060.0,1018,False,Amanda Kessel,,1.0,1019.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,180,5 on 4,0,1,Amanda Kessel,Play,t,154,17,Direct,Alex Carpenter,147.0,37.0,,,,1095.0,1020,True,loose,Amanda Kessel,1.0,1021.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,180,5 on 4,0,1,Amanda Kessel,Reception,t,154,17,Direct,Alex Carpenter,147.0,37.0,,,,1113.0,1020,False,Alex Carpenter,,1.0,1021.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,177,5 on 4,0,1,Alex Carpenter,Puck Recovery,t,143,3,,,,,,,,1180.0,1023,False,Alex Carpenter,,1.0,1023.0,False,,1023.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,177,5 on 4,0,1,Alex Carpenter,Play,t,143,3,Indirect,Amanda Kessel,156.0,5.0,,,,1180.0,1023,True,loose,Alex Carpenter,1.0,1023.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,177,5 on 4,0,1,Alex Carpenter,Reception,t,143,3,Indirect,Amanda Kessel,156.0,5.0,,,,1203.0,1023,False,Amanda Kessel,,1.0,1024.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,172,5 on 4,0,1,Amanda Kessel,Play,t,169,4,Indirect,Cayla Barnes,138.0,13.0,,,,1346.0,1028,True,loose,Amanda Kessel,1.0,1029.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,172,5 on 4,0,1,Amanda Kessel,Reception,t,169,4,Indirect,Cayla Barnes,138.0,13.0,,,,1392.0,1028,False,Cayla Barnes,,1.0,1030.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,169,5 on 4,0,1,Cayla Barnes,Play,t,139,19,Direct,Kelly Pannek,151.0,57.0,,,,1418.0,1031,True,loose,Cayla Barnes,1.0,1031.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,169,5 on 4,0,1,Cayla Barnes,Reception,t,139,19,Direct,Kelly Pannek,151.0,57.0,,,,1438.0,1031,False,Kelly Pannek,,1.0,1032.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,167,5 on 4,0,1,Kelly Pannek,Shot,f,156,55,Snapshot,,,,Blocked,t,f,1472.0,1033,False,loose,Kelly Pannek,1.0,1033.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,165,5 on 4,0,1,Alex Carpenter,Puck Recovery,t,196,67,,,,,,,,1549.0,1035,False,Alex Carpenter,,1.0,1036.0,False,,1036.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,164,5 on 4,0,1,Alex Carpenter,Play,t,193,74,Indirect,Kelly Pannek,147.0,83.0,,,,1561.0,1036,True,loose,Alex Carpenter,1.0,1036.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,164,5 on 4,0,1,Alex Carpenter,Reception,t,193,74,Indirect,Kelly Pannek,147.0,83.0,,,,1597.0,1036,False,Kelly Pannek,,1.0,1037.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,162,5 on 4,0,1,Kelly Pannek,Play,t,146,82,Indirect,Abby Roque,163.0,10.0,,,,1621.0,1038,True,loose,Kelly Pannek,1.0,1038.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,162,5 on 4,0,1,Kelly Pannek,Reception,t,146,82,Indirect,Abby Roque,163.0,10.0,,,,1670.0,1038,False,Abby Roque,,1.0,1040.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,158,5 on 4,0,1,Abby Roque,Play,t,171,19,Direct,Amanda Kessel,194.0,27.0,,,,1742.0,1042,True,loose,Abby Roque,1.0,1042.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,158,5 on 4,0,1,Abby Roque,Reception,t,171,19,Direct,Amanda Kessel,194.0,27.0,,,,1754.0,1042,False,Amanda Kessel,,1.0,1043.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,157,5 on 4,0,1,Amanda Kessel,Play,t,187,19,Direct,Cayla Barnes,133.0,18.0,,,,1795.0,1043,True,loose,Amanda Kessel,1.0,1044.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,157,5 on 4,0,1,Amanda Kessel,Reception,t,187,19,Direct,Cayla Barnes,133.0,18.0,,,,1825.0,1043,False,Cayla Barnes,,1.0,1045.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,154,5 on 4,0,1,Cayla Barnes,Play,t,133,32,Direct,Amanda Kessel,158.0,11.0,,,,1874.0,1046,True,loose,Cayla Barnes,1.0,1047.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,154,5 on 4,0,1,Cayla Barnes,Reception,t,133,32,Direct,Amanda Kessel,158.0,11.0,,,,1899.0,1046,False,Amanda Kessel,,1.0,1047.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,151,5 on 4,0,1,Amanda Kessel,Play,t,135,22,Direct,Cayla Barnes,128.0,40.0,,,,1959.0,1049,True,loose,Amanda Kessel,1.0,1049.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,151,5 on 4,0,1,Amanda Kessel,Reception,t,135,22,Direct,Cayla Barnes,128.0,40.0,,,,1979.0,1049,False,Cayla Barnes,,1.0,1050.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,150,5 on 4,0,1,Cayla Barnes,Shot,f,132,41,Snapshot,,,,Blocked,t,f,1997.0,1050,False,loose,Cayla Barnes,1.0,1051.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,148,4 on 5,1,0,Marie-Philip Poulin,Puck Recovery,t,52,27,,,,,,,,2049.0,1052,False,Marie-Philip Poulin,,1.0,1052.0,False,,1052.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,148,4 on 5,1,0,Marie-Philip Poulin,Dump In/Out,f,52,27,,,,,,,,2053.0,1052,False,loose,Marie-Philip Poulin,1.0,1052.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,143,5 on 4,0,1,Maddie Rooney,Puck Recovery,t,3,52,,,,,,,,2405.0,1057,False,Maddie Rooney,,2.0,1057.0,False,,1057.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,141,5 on 4,0,1,Maddie Rooney,Play,t,4,52,Indirect,Cayla Barnes,4.0,52.0,,,,2405.0,1059,False,Cayla Barnes,Maddie Rooney,2.0,1059.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,137,5 on 4,0,1,Cayla Barnes,Play,t,25,46,Direct,Hannah Brandt,52.0,81.0,,,,2405.0,1063,False,Hannah Brandt,Cayla Barnes,2.0,1063.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,135,5 on 4,0,1,Hannah Brandt,Play,t,80,79,Direct,Hilary Knight,109.0,60.0,,,,2437.0,1065,True,loose,Hannah Brandt,2.0,1065.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,135,5 on 4,0,1,Hannah Brandt,Reception,t,80,79,Direct,Hilary Knight,109.0,60.0,,,,2455.0,1065,False,Hilary Knight,,2.0,1066.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,134,5 on 4,1,0,Hilary Knight,Zone Entry,t,126,60,Carried,Mich Zandee-Hart,,,,,,2482.0,1066,False,Hilary Knight,,2.0,1067.0,True,1067.0,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,133,5 on 4,0,1,Hilary Knight,Shot,f,147,64,Snapshot,,,,Missed,f,f,2509.0,1067,False,loose,Hilary Knight,2.0,1068.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,130,5 on 4,0,1,Savannah Harmon,Puck Recovery,t,151,3,,,,,,,,2593.0,1070,False,Savannah Harmon,,2.0,1070.0,False,,1070.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,130,5 on 4,0,1,Savannah Harmon,Play,t,151,3,Indirect,Hilary Knight,196.0,18.0,,,,2606.0,1070,True,loose,Savannah Harmon,2.0,1071.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,130,5 on 4,0,1,Savannah Harmon,Reception,t,151,3,Indirect,Hilary Knight,196.0,18.0,,,,2645.0,1070,False,Hilary Knight,,2.0,1072.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,125,5 on 4,0,1,Hilary Knight,Play,t,159,7,Direct,Savannah Harmon,129.0,33.0,,,,2751.0,1075,True,loose,Hilary Knight,2.0,1076.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,125,5 on 4,0,1,Hilary Knight,Reception,t,159,7,Direct,Savannah Harmon,129.0,33.0,,,,2781.0,1075,False,Savannah Harmon,,2.0,1077.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,123,5 on 4,0,1,Savannah Harmon,Play,t,131,42,Direct,Hilary Knight,135.0,15.0,,,,2810.0,1077,True,loose,Savannah Harmon,2.0,1078.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,123,5 on 4,0,1,Savannah Harmon,Reception,t,131,42,Direct,Hilary Knight,135.0,15.0,,,,2834.0,1077,False,Hilary Knight,,2.0,1079.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,119,5 on 4,0,1,Hannah Brandt,Puck Recovery,t,194,14,,,,,,,,2920.0,1081,False,Hannah Brandt,,2.0,1081.0,False,,1081.0,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,119,5 on 4,0,1,Hannah Brandt,Play,f,192,11,Indirect,Megan Keller,137.0,28.0,,,,2924.0,1081,False,loose,Hannah Brandt,2.0,1082.0,False,,,True,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,112,5 on 4,0,1,Megan Keller,Puck Recovery,t,9,11,,,,,,,,3140.0,1088,False,Megan Keller,,2.0,1089.0,False,,1089.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,107,5 on 4,0,1,Megan Keller,Play,t,44,50,Direct,Hannah Brandt,83.0,83.0,,,,3308.0,1093,False,Hannah Brandt,Megan Keller,3.0,1093.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,105,4 on 5,1,0,Jocelyne Larocque,Puck Recovery,t,84,13,,,,,,,,3344.0,1095,False,Jocelyne Larocque,,3.0,1096.0,False,,1096.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,Canada,USA,away,1,105,4 on 5,1,0,Jocelyne Larocque,Dump In/Out,f,84,13,,,,,,,,3344.0,1095,False,loose,Jocelyne Larocque,3.0,1096.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,101,5 on 4,0,1,Maddie Rooney,Puck Recovery,t,5,43,,,,,,,,3452.0,1099,False,Maddie Rooney,,3.0,1099.0,False,,1099.0,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,101,5 on 4,0,1,Maddie Rooney,Play,t,5,41,Direct,Savannah Harmon,24.0,16.0,,,,3473.0,1099,True,loose,Maddie Rooney,3.0,1100.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,101,5 on 4,0,1,Maddie Rooney,Reception,t,5,41,Direct,Savannah Harmon,24.0,16.0,,,,3499.0,1099,False,Savannah Harmon,,3.0,1101.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,100,5 on 4,0,1,Savannah Harmon,Play,t,24,16,Indirect,Megan Keller,4.0,44.0,,,,3501.0,1100,True,loose,Savannah Harmon,3.0,1101.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,100,5 on 4,0,1,Savannah Harmon,Reception,t,24,16,Indirect,Megan Keller,4.0,44.0,,,,3525.0,1100,False,Megan Keller,,3.0,1102.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,1,96,5 on 4,0,1,Megan Keller,Play,t,8,57,Direct,Hannah Brandt,35.0,77.0,,,,,1104,False,Hannah Brandt,Megan Keller,,1104.0,False,,,False,2022-02-08 Canada at USA P1 PP2
8/2/2022,USA,Canada,home,2,991,5 on 4,0,1,Hannah Brandt,Faceoff Win,t,169,20,Forehand,Blayre Turnbull,,,,,,23.0,1409,False,loose,,1.0,1409.0,False,,,True,2022-02-08 Canada at USA P2 PP3
8/2/2022,USA,Canada,home,2,990,5 on 4,0,1,Hilary Knight,Puck Recovery,t,160,12,,,,,,,,48.0,1410,False,Hilary Knight,,1.0,1410.0,False,,1410.0,True,2022-02-08 Canada at USA P2 PP3
